year_birth,age,sex,number,percentage
1942,79,Woman,235091,0.346524206
1941,80,Man,157329,0.231902994
1941,80,Woman,207424,0.30574304
1940,81,Man,157087,0.231546286
1940,81,Woman,212721,0.313550819
1939,82,Man,155544,0.229271904
1939,82,Woman,221582,0.326611936
1938,83,Man,144708,0.213299637
1938,83,Woman,210526,0.310315389
1937,84,Man,132881,0.195866635
1937,84,Woman,202710,0.298794602
1936,85,Man,124279,0.183187284
1936,85,Woman,196697,0.289931438
1935,86,Man,108163,0.159432295
1935,86,Woman,185349,0.273204483
1934,87,Man,98732,0.145530998
1934,87,Woman,177505,0.261642425
1933,88,Man,84212,0.124128514
1933,88,Woman,158750,0.233997549
1932,89,Man,74459,0.109752589
1932,89,Woman,152090,0.224180707
1931,90,Man,61841,0.091153653
1931,90,Woman,133417,0.196656699
1930,91,Man,50820,0.074908696
1930,91,Woman,118072,0.174038164
1929,92,Man,37997,0.05600759
1929,92,Woman,95320,0.140501709
1928,93,Man,28897,0.042594187
1928,93,Woman,79936,0.117825689
1927,94,Man,21279,0.031365253
1927,94,Woman,64843,0.095578602
1926,95,Man,15443,0.022762987
1926,95,Woman,52253,0.077020938
1925,96,Man,10962,0.016157991
1925,96,Woman,39822,0.05869764
1924,97,Man,7398,0.010904654
1924,97,Woman,29272,0.043146937
1923,98,Man,5152,0.00759405
1923,98,Woman,21605,0.031845777
1922,99,Man,3123,0.004603303
1922,99,Woman,15187,0.022385643
1921 or before,100,Man,4438,0.006541613
1921 or before,100,Woman,24761,0.036497722
